Video Name,Date,Time,Total Count,Car Count,Truck Count,Bus Count,Motorcycle Count
lane2.mp4,2025-04-12,10:33:24,26308,22923,2535,850,0
lane2.mp4,2025-04-12,10:33:44,28389,24916,2623,850,0
lane2.mp4,2025-04-12,10:34:04,30170,26563,2753,854,0
lane1.mp4,2025-04-12,10:34:17,226,225,1,0,0
lane1.mp4,2025-04-12,10:34:37,754,750,4,0,0
lane1.mp4,2025-04-12,10:34:57,1487,1394,90,3,0
lane1.mp4,2025-04-12,10:35:17,2166,2007,139,20,0
lane1.mp4,2025-04-12,10:35:37,2447,2237,182,28,0
lane1.mp4,2025-04-12,10:35:57,2649,2413,205,31,0
lane1.mp4,2025-04-12,10:36:18,2895,2632,227,36,0
lane2.mp4,2025-04-12,10:36:38,480,425,29,26,0
lane2.mp4,2025-04-12,10:36:58,2372,2074,173,125,0
lane2.mp4,2025-04-12,10:37:18,4576,4046,336,194,0
lane2.mp4,2025-04-12,10:37:38,6745,6009,505,231,0
lane2.mp4,2025-04-12,10:37:58,8915,7909,723,283,0
lane2.mp4,2025-04-12,10:38:19,11063,9780,961,322,0
lane2.mp4,2025-04-12,10:38:39,13352,11665,1276,411,0
lane1.mp4,2025-04-12,11:01:42,649,645,4,0,0
lane1.mp4,2025-04-12,11:02:02,1989,1857,114,18,0
lane2.mp4,2025-04-12,11:02:23,24,21,2,1,0
lane2.mp4,2025-04-12,11:02:43,3289,2895,235,159,0
lane2.mp4,2025-04-12,11:03:03,5453,4833,395,225,0
lane2.mp4,2025-04-12,11:03:23,6875,6125,518,232,0
lane2.mp4,2025-04-12,11:03:43,8915,7909,723,283,0
lane2.mp4,2025-04-12,11:04:03,10369,9188,876,305,0
lane2.mp4,2025-04-12,11:04:23,12426,10890,1161,375,0
lane2.mp4,2025-04-12,11:04:43,14018,12246,1341,431,0
lane2.mp4,2025-04-12,11:05:03,15613,13656,1511,446,0
lane2.mp4,2025-04-12,11:05:23,16780,14665,1604,511,0
lane2.mp4,2025-04-12,11:05:44,18281,15901,1793,587,0
lane2.mp4,2025-04-12,11:06:04,20067,17321,2088,658,0
lane2.mp4,2025-04-12,11:06:24,21750,18663,2311,776,0
lane2.mp4,2025-04-12,11:06:44,23603,20337,2428,838,0
lane2.mp4,2025-04-12,11:07:04,25788,22423,2515,850,0
lane2.mp4,2025-04-12,11:07:24,28000,24543,2607,850,0
lane2.mp4,2025-04-12,11:07:44,31070,27445,2771,854,0
lane2.mp4,2025-04-12,11:08:04,34999,31101,3031,867,0
lane2.mp4,2025-04-12,11:08:24,38104,33959,3276,869,0
lane2.mp4,2025-04-12,11:08:44,41720,37205,3630,885,0
lane3.mp4,2025-04-12,11:09:04,1480,1154,124,62,140
lane3.mp4,2025-04-12,11:09:25,3425,2775,292,144,214
lane1.mp4,2025-04-12,11:09:32,436,432,4,0,0
lane3.mp4,2025-04-12,11:09:45,4624,3772,382,196,274
lane1.mp4,2025-04-12,11:09:52,1227,1177,47,3,0
lane3.mp4,2025-04-12,11:10:05,5784,4784,482,242,276
lane1.mp4,2025-04-12,11:10:12,2441,2231,182,28,0
lane3.mp4,2025-04-12,11:10:26,6988,5821,567,293,307
lane2.mp4,2025-04-12,11:10:32,283,250,22,11,0
lane3.mp4,2025-04-12,11:10:46,8179,6837,645,341,356
lane2.mp4,2025-04-12,11:10:52,2658,2333,191,134,0
lane3.mp4,2025-04-12,11:11:06,10019,8455,741,418,405
lane2.mp4,2025-04-12,11:11:13,4449,3933,329,187,0
lane3.mp4,2025-04-12,11:11:26,11231,9528,826,438,439
lane2.mp4,2025-04-12,11:11:33,5707,5064,417,226,0
lane3.mp4,2025-04-12,11:11:47,13569,11634,939,507,489
lane2.mp4,2025-04-12,11:11:53,8040,7168,618,254,0
lane3.mp4,2025-04-12,11:12:07,16246,13948,1012,604,682
lane2.mp4,2025-04-12,11:12:13,10436,9250,880,306,0
lane3.mp4,2025-04-12,11:12:27,18800,16270,1096,701,733
lane2.mp4,2025-04-12,11:12:33,12931,11311,1225,395,0
lane3.mp4,2025-04-12,11:12:47,21328,18700,1116,763,749
lane2.mp4,2025-04-12,11:12:53,14845,12968,1438,439,0
lane3.mp4,2025-04-12,11:13:07,23284,20507,1142,834,801
lane2.mp4,2025-04-12,11:13:13,16197,14167,1555,475,0
lane3.mp4,2025-04-12,11:13:28,24581,21704,1151,883,843
lane2.mp4,2025-04-12,11:13:33,17140,14965,1642,533,0
lane3.mp4,2025-04-12,11:13:48,26704,23631,1217,973,883
lane2.mp4,2025-04-12,11:13:53,19241,16686,1949,606,0
lane3.mp4,2025-04-12,11:14:08,29252,25960,1279,1070,943
lane2.mp4,2025-04-12,11:14:14,21376,18349,2265,762,0
lane3.mp4,2025-04-12,11:14:28,31786,28235,1335,1172,1044
lane2.mp4,2025-04-12,11:14:34,23497,20240,2423,834,0
lane3.mp4,2025-04-12,11:14:48,34232,30389,1420,1266,1157
lane2.mp4,2025-04-12,11:14:54,26107,22730,2527,850,0
lane3.mp4,2025-04-12,11:15:08,36484,32182,1606,1380,1316
lane2.mp4,2025-04-12,11:15:14,28546,25064,2631,851,0
lane3.mp4,2025-04-12,11:15:28,39176,34200,1798,1478,1700
lane2.mp4,2025-04-12,11:15:34,30954,27336,2764,854,0
lane3.mp4,2025-04-12,11:15:48,41716,36333,1947,1581,1855
lane2.mp4,2025-04-12,11:15:54,33419,29655,2899,865,0
lane3.mp4,2025-04-12,11:16:09,44194,38302,2071,1710,2111
lane2.mp4,2025-04-12,11:16:14,35205,31295,3043,867,0
lane3.mp4,2025-04-12,11:16:29,45766,39562,2197,1798,2209
lane2.mp4,2025-04-12,11:16:35,37019,32970,3180,869,0
lane3.mp4,2025-04-12,11:16:49,47142,40651,2333,1887,2271
lane2.mp4,2025-04-12,11:16:55,38582,34398,3315,869,0
lane3.mp4,2025-04-12,11:17:10,48063,41398,2411,1932,2322
lane1.mp4,2025-04-12,11:17:11,389,385,4,0,0
lane2.mp4,2025-04-12,11:17:16,39346,35095,3382,869,0
lane3.mp4,2025-04-12,11:17:30,48925,42115,2498,1964,2348
lane1.mp4,2025-04-12,11:17:31,860,856,4,0,0
lane2.mp4,2025-04-12,11:17:36,40686,36289,3519,878,0
lane4.mp4,2025-04-12,11:17:50,1562,1095,239,212,16
lane1.mp4,2025-04-12,11:17:51,1526,1431,92,3,0
lane2.mp4,2025-04-12,11:17:56,42755,38106,3757,892,0
lane4.mp4,2025-04-12,11:18:10,3048,2227,391,412,18
lane1.mp4,2025-04-12,11:18:11,2260,2090,150,20,0
lane3.mp4,2025-04-12,11:18:16,1339,1045,111,56,127
lane4.mp4,2025-04-12,11:18:30,4493,3253,620,602,18
lane1.mp4,2025-04-12,11:18:31,2671,2435,205,31,0
lane3.mp4,2025-04-12,11:18:36,3122,2520,267,131,204
lane4.mp4,2025-04-12,11:18:50,5962,4353,806,785,18
lane2.mp4,2025-04-12,11:18:51,361,320,24,17,0
lane3.mp4,2025-04-12,11:18:57,4975,4076,413,210,276
lane4.mp4,2025-04-12,11:19:11,7220,5416,924,862,18
lane2.mp4,2025-04-12,11:19:12,1901,1650,145,106,0
lane3.mp4,2025-04-12,11:19:17,6623,5500,545,276,302
lane1.mp4,2025-04-12,11:19:31,61,60,1,0,0
lane2.mp4,2025-04-12,11:19:32,3372,2969,241,162,0
lane3.mp4,2025-04-12,11:19:37,8254,6906,648,344,356
lane1.mp4,2025-04-12,11:19:47,20,20,0,0,0
lane1.mp4,2025-04-12,11:19:51,428,424,4,0,0
lane2.mp4,2025-04-12,11:19:52,4869,4307,357,205,0
lane3.mp4,2025-04-12,11:19:57,9569,8066,717,398,388
lane1.mp4,2025-04-12,11:20:07,326,322,4,0,0
lane1.mp4,2025-04-12,11:20:11,721,717,4,0,0
lane2.mp4,2025-04-12,11:20:12,6260,5569,465,226,0
lane3.mp4,2025-04-12,11:20:17,10883,9221,805,425,432
lane1.mp4,2025-04-12,11:20:27,649,645,4,0,0
lane1.mp4,2025-04-12,11:20:31,996,991,4,1,0
lane2.mp4,2025-04-12,11:20:32,7621,6793,582,246,0
lane3.mp4,2025-04-12,11:20:41,12135,10351,882,462,440
lane1.mp4,2025-04-12,11:20:47,854,850,4,0,0
lane1.mp4,2025-04-12,11:20:51,1422,1336,83,3,0
lane2.mp4,2025-04-12,11:20:52,8812,7825,707,280,0
lane3.mp4,2025-04-12,11:21:01,13381,11466,934,500,481
lane1.mp4,2025-04-12,11:21:07,136,135,1,0,0
lane1.mp4,2025-04-12,11:21:08,1071,1050,19,2,0
lane1.mp4,2025-04-12,11:21:12,1729,1629,96,4,0
lane2.mp4,2025-04-12,11:21:14,9477,8381,798,298,0
lane3.mp4,2025-04-12,11:21:22,13724,11771,940,513,500
lane1.mp4,2025-04-12,11:21:27,869,865,4,0,0
lane1.mp4,2025-04-12,11:21:30,1159,1121,36,2,0
lane1.mp4,2025-04-12,11:21:33,1803,1695,104,4,0
lane2.mp4,2025-04-12,11:21:34,9720,8596,824,300,0
lane3.mp4,2025-04-12,11:21:42,14211,12210,948,532,521
lane1.mp4,2025-04-12,11:21:47,1579,1482,93,4,0
lane1.mp4,2025-04-12,11:21:50,1454,1364,87,3,0
lane1.mp4,2025-04-12,11:21:53,2060,1919,123,18,0
lane2.mp4,2025-04-12,11:21:55,10606,9396,898,312,0
lane3.mp4,2025-04-12,11:22:03,15273,13118,986,569,600
lane1.mp4,2025-04-12,11:22:08,1854,1745,105,4,0
lane1.mp4,2025-04-12,11:22:10,1777,1671,102,4,0
lane1.mp4,2025-04-12,11:22:14,2353,2158,167,28,0
lane2.mp4,2025-04-12,11:22:16,11507,10155,1025,327,0
lane3.mp4,2025-04-12,11:22:23,15999,13731,1009,595,664
lane1.mp4,2025-04-12,11:22:28,2023,1886,119,18,0
lane1.mp4,2025-04-12,11:22:30,1944,1820,113,11,0
lane1.mp4,2025-04-12,11:22:34,2471,2259,184,28,0
lane2.mp4,2025-04-12,11:22:36,12318,10801,1145,372,0
lane3.mp4,2025-04-12,11:22:44,17210,14778,1069,642,721
lane1.mp4,2025-04-12,11:22:48,2435,2225,182,28,0
lane1.mp4,2025-04-12,11:22:51,2378,2178,172,28,0
lane1.mp4,2025-04-12,11:22:54,2699,2459,209,31,0
lane2.mp4,2025-04-12,11:22:56,13630,11900,1308,422,0
lane3.mp4,2025-04-12,11:23:04,18452,15943,1090,688,731
lane1.mp4,2025-04-12,11:23:08,2610,2377,205,28,0
lane1.mp4,2025-04-12,11:23:11,2553,2325,200,28,0
lane2.mp4,2025-04-12,11:23:16,14557,12718,1406,433,0
lane1.mp4,2025-04-12,11:23:14,2906,2643,227,36,0
lane3.mp4,2025-04-12,11:23:24,19657,17100,1108,713,736
lane1.mp4,2025-04-12,11:23:29,2819,2568,217,34,0
lane1.mp4,2025-04-12,11:23:31,2734,2489,214,31,0
lane2.mp4,2025-04-12,11:23:38,15348,13424,1485,439,0
lane2.mp4,2025-04-12,11:23:38,24,21,2,1,0
lane3.mp4,2025-04-12,11:23:45,20674,18080,1112,739,743
lane1.mp4,2025-04-12,11:23:47,23,23,0,0,0
lane1.mp4,2025-04-12,11:23:49,2986,2723,227,36,0
lane1.mp4,2025-04-12,11:23:51,2922,2659,227,36,0
lane2.mp4,2025-04-12,11:23:58,15993,13991,1545,457,0
lane2.mp4,2025-04-12,11:23:58,826,731,47,48,0
lane3.mp4,2025-04-12,11:24:05,21676,19024,1125,774,753
lane2.mp4,2025-04-12,11:24:09,675,595,40,40,0
lane1.mp4,2025-04-12,11:24:07,170,169,1,0,0
lane2.mp4,2025-04-12,11:24:11,283,250,22,11,0
lane2.mp4,2025-04-12,11:24:18,16725,14617,1600,508,0
lane2.mp4,2025-04-12,11:24:19,1635,1418,121,96,0
lane3.mp4,2025-04-12,11:24:25,22666,19935,1139,811,781
lane2.mp4,2025-04-12,11:24:30,1462,1275,107,80,0
lane1.mp4,2025-04-12,11:24:30,383,379,4,0,0
lane2.mp4,2025-04-12,11:24:32,1106,974,71,61,0
lane2.mp4,2025-04-12,11:24:39,17387,15180,1673,534,0
lane2.mp4,2025-04-12,11:24:39,2512,2201,182,129,0
lane3.mp4,2025-04-12,11:24:46,23501,20712,1145,843,801
lane2.mp4,2025-04-12,11:24:51,2148,1877,155,116,0
lane1.mp4,2025-04-12,11:24:51,525,521,4,0,0
lane2.mp4,2025-04-12,11:24:52,1689,1464,127,98,0
lane2.mp4,2025-04-12,11:24:59,3108,2730,226,152,0
lane2.mp4,2025-04-12,11:24:59,17909,15607,1738,564,0
lane3.mp4,2025-04-12,11:25:06,24062,21230,1147,865,820
lane2.mp4,2025-04-12,11:25:11,2785,2447,199,139,0
lane1.mp4,2025-04-12,11:25:12,643,639,4,0,0
lane2.mp4,2025-04-12,11:25:13,2324,2030,171,123,0
lane2.mp4,2025-04-12,11:25:21,3632,3208,256,168,0
lane2.mp4,2025-04-12,11:25:21,18379,15984,1806,589,0
lane1.mp4,2025-04-12,11:25:22,144,143,1,0,0
lane3.mp4,2025-04-12,11:25:32,24314,21461,1148,874,831
lane1.mp4,2025-04-12,11:25:32,677,673,4,0,0
lane2.mp4,2025-04-12,11:25:32,3012,2644,220,148,0
lane2.mp4,2025-04-12,11:25:33,2512,2201,182,129,0
lane2.mp4,2025-04-12,11:25:42,3943,3483,281,179,0
